SEQN,RIDAGEMN,RIDRETH1,DMDEDUC2,DMDMARTL
41475,751,5,3,1
41476,81,5,NA,NA
41477,859,3,3,1
41478,17,3,NA,NA
41479,629,1,1,1
41480,81,1,NA,NA
41481,254,4,3,5
41482,778,1,2,1
41483,803,4,4,1
41484,9,3,NA,NA
41485,360,2,2,1
41486,734,1,1,1
41487,331,5,5,5
41488,61,1,NA,NA
41489,482,1,3,1
41490,802,4,4,1
41491,134,3,NA,NA
41492,866,3,1,1
41493,934,3,2,2
41494,480,1,3,1
41495,739,3,5,1
41496,776,1,1,4
41497,27,5,NA,NA
41498,824,4,1,6
41499,210,1,NA,NA
41500,179,1,NA,NA
41501,846,3,1,5
41502,353,1,3,1
41503,222,3,NA,NA
41504,763,3,5,1
41505,16,1,NA,NA
41506,927,3,4,1
41507,75,4,NA,NA
41508,17,2,NA,NA
41509,579,2,4,1
41510,406,3,4,6
41511,425,1,5,1
41512,NA,3,4,2
41513,NA,2,1,5
41514,849,3,5,5
41515,70,1,NA,NA
41516,894,3,1,1
41517,7,4,NA,NA
41518,607,3,5,1
41519,848,4,3,1
41520,53,4,NA,NA
41521,13,4,NA,NA
41522,873,3,4,1
41523,338,4,3,1
41524,NA,3,5,1
41525,621,4,3,1
41526,778,3,3,3
41527,529,3,3,1
41528,764,5,2,3
41529,298,1,5,1
41530,194,1,NA,NA
41531,527,2,2,1
41532,98,4,NA,NA
41533,84,2,NA,NA
41534,448,5,4,5
41535,4,1,NA,NA
41536,534,3,4,1
41537,193,3,NA,NA
41538,336,4,4,5
41539,446,3,5,5
41540,229,1,NA,NA
41541,520,3,5,1
41542,722,4,3,1
41543,11,4,NA,NA
41544,326,3,5,5
41545,486,1,1,1
41546,548,3,4,3
41547,597,3,4,1
41548,298,3,2,5
41549,735,4,3,3
41550,549,1,3,5
41551,23,3,NA,NA
41552,648,3,4,4
41553,180,4,NA,NA
41554,18,1,NA,NA
41555,936,4,1,2
41556,464,3,2,1
41557,NA,3,1,2
41558,609,4,2,3
41559,147,3,NA,NA
41560,14,2,NA,NA
41561,76,4,NA,NA
41562,610,3,4,5
41563,559,3,5,1
41564,38,5,NA,NA
41565,869,3,3,1
41566,52,1,NA,NA
41567,615,2,4,1
41568,100,1,NA,NA
